Code,Technical definition ,Informal explanation ,KM suggestions ,Notes 
Cmpd,Compound,two words joined to make a bigger word,"Compounds are when two words are joined to make a bigger word. For example, the two nouns with the same inflection forming a compound noun (Valentine 2001:591). ","There was an example of ""Thunder People"" but I wasn't sure if that name might be sensitive? I wasn’t able to find it in the Ojibwe peoples dictionary or the Nishnaabemwin online dictionary so I just cited the page for people to reference. "
Imm,Immediate,do it now!',"The imperative order is inflection on verbs used for commands. There are immediate, delayed, and negative (prohibitive) commands (Valentine 2001:991). ",
Thm1,First person theme [you X me],"-i' (often deleted), marks second person subject and first person object for VTAs (prefix is subject), often called a 'direct local theme'","“Theme” refers to inflection that signals which animate thing is doing the action (subject) and which is receiving the action (object). ‘-i’ (often deleted) marks the second person as (subject) doing the action to the first person (object) with transitive animate verbs. [You X me], often called a direct local theme. ",
Thm1Pl2,Second person first plural theme [we X you],"-igoo', marks first person plural subject and second person object for VTAs (prefix is object), often called an 'indirect local theme'","“Theme” refers to inflection that signals which animate thing is doing the action (subject) and which is receiving the action (object). ‘-igoo,’ marks the first person plural as the subject and the second person (prefix) as the object. [We X you], often called an indirect local theme. ",
Thm2,Second person theme [I X you],"-in', marks first person singular subject and second person object for VTAs (prefix is object), often called an 'indirect local theme'","“Theme” refers to inflection that signals which animate thing is doing the action (subject) and which is receiving the action (object). ‘-in,’ marks the first person singular as the subject and the second person (prefix) as the object. [I X you], often called an indirect local theme. ",
Thm2a,Conjunct order second person theme A [I X you],"-inin', marks second person object, non-third person subject for conjunct order VTAs","“Theme” refers to inflection that signals which animate thing is doing the action (subject) and which is receiving the action (object). ‘-inin,’ marks the second person as the object and any non-third person subject in the conjunct order, [I X you].",
Thm2b,Conjunct order second person theme B [He/she X's you],"-ik', marks second person object, third person subject for conjunct order VTAs","“Theme” refers to inflection that signals which animate thing is doing the action (subject) and which is receiving the action (object). ‘-ik,’ marks the second person as the object and any third person as the subject in the conjunct order, [S/he X’s you].",
ThmDir,Direct theme [Y Xs him/her],"-aa', marks third person object for VTAs (prefix is subject), often called a 'direct non-local theme'","“Theme” refers to inflection that signals which animate thing is doing the action (subject) and which is receiving the action (object). ‘-aa,’ marks the third person as the object and any person prefix as the subject. [Y X’s him/her], often called a direct non-local theme. ",
ThmInv,Inverse theme [he/she/it X's Y],"-igo/ig', marks third person/inanimate subject for VTAs (prefix is object), often called an 'indirect local theme'","“Theme” refers to inflection that signals which thing is doing the action (subject) and which is receiving the action (object). ‘-igo’ or ‘-ig,’ marks the third person or inanimate thing as the subject and any person prefix as the object. [S/he, it X’s Y], often called the indirect local theme.",
ThmNul,Conjunct order third person theme [I/you X him/her],"--', marks third person object, non-third person subject for conjunct order VTAs","“Theme” refers to inflection that signals which thing is doing the action (subject) and which is receiving the action (object). ‘--’ marks the third person as the object and any non-third person as the subject in the conjunct order, [I/you X him/her]. ",
ThmPos,Posessive theme (Flagging typo),marks some possessed nouns,"“Theme” refers to inflection that signals relations between things. The possessive theme marks a noun as possessed by someone (person prefix). For example, ‘njiimaan(im),’ ‘my boat’ (Valentine 2001:197).  ",Flagging typo in the technical definition 
